추천일시,구분,티커,종목명,추천시_현재가,매수가,목표가,손절가,종합점수
2026-08-09 17:11,종가,207940,삼성바이오로직스,1556000,1493800,1980200,1243000,62.8
2026-08-09 17:11,종가,373220,LG에너지솔루션,360000,345600,478500,300500,62.4
2026-08-09 17:11,종가,005930,삼성전자,231000,228700,304900,207000,62.4
2026-08-09 17:11,종가,319660,피에스케이,118400,117200,153700,90600,57.2
2026-08-09 17:11,종가,087010,펩트론,181800,174500,243900,103600,56.8
2026-08-09 17:11,종가,039030,이오테크닉스,324500,317400,426100,240000,53.1
2026-08-09 13:06,시초가,207940,삼성바이오로직스,1556000,1493800,1980200,1243000,69.5
2026-08-09 13:06,시초가,373220,LG에너지솔루션,360000,345600,478500,300500,67.3
2026-08-09 13:06,시초가,005380,현대차,395500,391500,528300,351000,56.7
2026-08-09 13:06,시초가,087010,펩트론,181800,174500,243900,103600,63.2
2026-08-09 13:06,시초가,214370,케어젠,66000,63400,86900,49300,58.7
2026-08-09 13:06,시초가,039030,이오테크닉스,324500,317400,426100,240000,55.4
2026-08-08 17:08,종가,207940,삼성바이오로직스,1556000,1493800,1980200,1243000,62.8
2026-08-08 17:08,종가,373220,LG에너지솔루션,360000,345600,478500,300500,62.4
2026-08-08 17:08,종가,005930,삼성전자,231000,228700,304900,207000,62.4
2026-08-08 17:08,종가,319660,피에스케이,118400,117200,153700,90600,57.2
2026-08-08 17:08,종가,087010,펩트론,181800,174500,243900,103600,56.8
2026-08-08 17:08,종가,039030,이오테크닉스,324500,317400,426100,240000,53.1
2026-08-08 12:58,시초가,207940,삼성바이오로직스,1556000,1493800,1980200,1243000,69.5
2026-08-08 12:58,시초가,373220,LG에너지솔루션,360000,345600,478500,300500,67.3
2026-08-08 12:58,시초가,005380,현대차,395500,391500,528300,351000,56.7
2026-08-08 12:58,시초가,087010,펩트론,181800,174500,243900,103600,63.2
2026-08-08 12:58,시초가,214370,케어젠,66000,63400,86900,49300,58.7
2026-08-08 12:58,시초가,039030,이오테크닉스,324500,317400,426100,240000,55.4
2026-08-07 18:38,종가,207940,삼성바이오로직스,1556000,1493800,1980200,1243000,62.8
2026-08-07 18:38,종가,373220,LG에너지솔루션,360000,345600,478500,300500,62.4
2026-08-07 18:38,종가,005930,삼성전자,231000,228700,304900,207000,62.4
2026-08-07 18:38,종가,319660,피에스케이,118400,117200,153700,90600,57.2
2026-08-07 18:38,종가,087010,펩트론,181800,174500,243900,103600,56.8
2026-08-07 18:38,종가,039030,이오테크닉스,324500,317400,426100,240000,53.1
2026-08-06 21:32,종가,005930,삼성전자,230500,228200,304200,207000,62.3
2026-08-06 21:32,종가,402340,SK스퀘어,970000,960300,1269100,799000,62.3
2026-08-06 21:32,종가,207940,삼성바이오로직스,1514000,1453400,1927700,1243000,60.7
2026-08-06 21:32,종가,319660,피에스케이,121200,120000,157300,90600,57.2
2026-08-06 21:32,종가,087010,펩트론,178000,170900,236900,103600,55.2
2026-08-06 21:32,종가,214370,케어젠,66800,64100,89400,49300,53.8
2026-08-06 18:49,시초가,207940,삼성바이오로직스,1514000,1453400,1927700,1243000,64.5
2026-08-06 18:49,시초가,373220,LG에너지솔루션,345000,331200,459600,300500,59.9
2026-08-06 18:49,시초가,005380,현대차,400000,396000,530100,351000,54.0
2026-08-06 18:49,시초가,214370,케어젠,66800,64100,89400,49300,64.1
2026-08-06 18:49,시초가,277810,레인보우로보틱스,489500,469900,644100,373000,62.9
2026-08-06 18:49,시초가,087010,펩트론,178000,170900,236900,103600,60.4
2026-08-05 21:28,종가,005930,삼성전자,246000,243500,326300,207000,64.8
2026-08-05 21:28,종가,402340,SK스퀘어,1119000,1107800,1485600,799000,64.8
2026-08-05 21:28,종가,005380,현대차,404500,400500,540400,351000,62.1
2026-08-05 21:28,종가,108490,로보티즈,242000,232300,332000,158400,62.7
2026-08-05 21:28,종가,319660,피에스케이,127700,126400,164600,90600,56.1
2026-08-05 21:28,종가,087010,펩트론,171500,164600,226400,103600,53.6
2026-08-04 16:33,,402340,SK스퀘어,1060000,1049400,1590000,799000,68.1
2026-08-04 16:33,,005930,삼성전자,240000,237600,360000,207000,66.0
2026-08-04 16:33,,319660,피에스케이,126000,124700,189000,90600,63.4
